Scientific name,Common name,Image Name,Description,USDA Link,Species ID
Abies fraseri,fraser fir,,,,1
Acer buergeranium,trident maple,,,,2
Acer negundo,boxelder maple,,,,3
Acer palmatum,Japanese maple,,,,4
Acer platanoides,Norway maple,,,,5
Acer rubrum,red maple,,,,6
Acer saccharinum,silver maple,,,,7
Acer saccharum,sugar maple,,,,8
Acer xfreemanii,freeman maple,,,,9
Aesculus flava,yellow buckeye,,,,10
Betula alleghaniensis,yellow birch,,,,11
Betula lenta,sweet birch,,,,12
Butula nigra,river birch,,,,13
Betula papyrifera,paper birch,,,,14
Carya cordiformis,bitternut hickory,,,,15
Carya glabra,pignut hickory,,,,16
Carya species,hickory,,,,17
Carya tomentosa,mockernut hickory,,,,18
Castanea mollissima,Chinese chestnut,,,,19
Cedrus atlantica pendula,weeping blue Atlas cedar,,,,20
Cercis canadensis,eastern redbud,,,,21
Chamaecyparis thyoides,Atlantic white-cedar,,,,22
Cladrastis kentukea,yellowwood,,,,23
Cornus florida,flowering dogwood,,,,24
Cryptomeria japonica,Japanese cryptomeria,,,,25
Fagus orientalis,Oriental beech,,,,26
Fraxinus americana,white ash,,,,27
Fraxinus pennsylvanica,green ash,,,,28
Ginkgo biloba,ginkgo,,,,29
Gleditsia triacanthos,honeylocust,,,,30
Ilex opaca,American holly,,,,31
Juglans nigra,black walnut,,,,32
Koelreuteria paniculata,goldenraintree,,,,33
Ligustrum sinense,Chinese privet,,,,34
Liquidambar styraciflua,sweet gum,,,,35
Liriodendron tulipifera,yellow poplar,,,,36
Magnolia grandiflora,Southern Magnolia,,,,37
Magnolia liliiflora,Mulan magnolia,,,,38
Magnolia virginiana,sweetbay magnolia,,,,39
Malus sp.,crabapple sp.,,,,40
Metasequoia glyptostroboides,dawn redwood,,,,41
Nyssa sylvatica,black gum,,,,42
Oxydendrum arboreum,sourwood,,,,43
Picea abies,Norway spruce,,,,44
Picea abies pendula,weeping Norway spruce,,,,45
Picea pungens,Colorado blue spruce,,,,46
Picea rubens,red spruce,,,,47
Pinus echinata,shortleaf pine,,,,48
Pinus palustris,longleaf pine,,,,49
Pinus serotina,pond pine,,,,50
Pinus strobus,eastern white pine,,,,51
Pinus taeda,loblolly pine,,,,52
Platanus occidentalis,American sycamore,,,,53
Populus deltoides,eastern cottonwood,,,,54
Populus grandidentata,bigtooth aspen,,,,55
Prunus avium,sweet cherry,,,,56
Prunus pendula,weeping cherry,,,,57
Prunus pensylvanica,fire cherry,,,,58
Prunus serotina,black cherry,,,,59
Prunus subhirtella,Higan cherry,,,,60
Pyrularia pubera,buffalo-nut,,,,61
Pyrus calleryana,Callery pear,,,,62
Quercus acutissima,sawtooth oak,,,,63
Quercus alba,white oak,,,,64
Quercus bicolor,swamp white oak,,,,65
Quercus coccinea,scarlet oak,,,,66
Quercus falcata,southern red oak,,,,67
Quercus imbricaria,shingle oak,,,,68
Quercus palustris,pin oak,,,,69
Quercus phellos,willow oak,,,,70
Quercus rubra,northern red oak,,,,71
Quercus sp.,hybrid oak,,,,72
Quercus stellata,post oak,,,,73
Quercus velutina,black oak,,,,74
Robinia pseudoacacia,black locust,,,,75
Salix babylonica,weeping willow,,,,76
Salix matsudana,corkscrew willow,,,,77
Sassafras albidum,sassafras,,,,78
Taxodium distichum,baldcypress,,,,79
Taxus cuspidata capitata,upright Japanese yew,,,,80
Thuja occidentalis,arborvitae,,,,81
Tilia americana,American basswood,,,,82
Tsuga canadensis,eastern hemlock,,,,83
Tsuga caroliniana,Carolina hemlock,,,,84
Ulmus parvifolia,Chinese elm,,,,85
Ulmus pumila,Siberian elm,,,,86
Vitex angus-castus,chaste tree,,,,87
Zelkova serrata,Japanese zelkova,,,,88